분류군ID,학명,국명,분류계급,이명여부,명명자,명명년도,최초명명자,최초명명년도,설명,,
1000001,Oryza sativa,벼,Species,Ready(Synonym),,,,,"인도와 말레이시아산 1년초로서 주식작물로 재배하고높이 50?100cm이며 포기를 형성한다. 잎은 길이 30cm,너비 3-5_로서 표면과 가장자리가 거칠고 잎혀는 2개로 갈라진다. 원추화서는 꽃이 필 때는 곧추서지만 익을 때는 밑으로 처지며 많은 소수가 달리고 소수는 가지에 호생하며 짧은 대가 있고 1개의 꽃으로 된다. 포영은 퇴화되며 호영과 내영이 발달하고 호영은 장타원형이며 길이 6mm 정도이고 좌우에서 편평해지며 짧은털이 있고 까락이 있는 것과 없는 것이 있다. 내영은 호영과 비숫하고 수술은 6개이다. 쌀에 끈기가 있는 찰벼.var. glutinosa Matsum. 는 포영이 작으며 흑자색이고 전체가 갈자색이다. 산두. var.terrestris Mak. 는 밭에서 スト란다.",,
1000002,Zea mays,옥수수,Species,Ready(Synonym),,,,,열대아메리카 원산이며 주요한 작물의 하나인 1년초로서 높이 l~3m이고 곧추 자란다. 잎은 호생하며 길이가 lm 정도에 달하고 표면에 털이 있으며 윗부분이뒤로 젖혀져서 처지고 밑부분이 잎집으로 되어 원줄기를 감싸며 털이 없다. 꽃은 7?8월에 피고 수꽃은 원줄기 끝에 달리며 큰 원추형의 꽃차례를 형성한다. 꽃차례의 분지에는 각각 2개의 꽃이 달린 소수가 이삭처럼달리고 수술이 각각 3개씩 있으며 포영에 잔털이 있다.자화수는 윗부분의 잎겨드랑이에 달리고 많은 꽃이 꽃대축에 정렬하며 각각 막질의 영(穎)과 1개의 씨방이있다. 암술대는 적갈색이고 꽃차례를 둘러싸고 있는 포영 밖으로 나와 밑으로 처진다. 화서축은 길이 20-30cm 로 자라서 굵어지며 많은 영과가 달린다. 영과는편구형이고 밑부분이 짧게뾰족해지며 지름 6mm 정도로서 보통 황색이지만 자줏빛이 도는 것 및 그 밖의여러 가지가 있다. 마른 암술대를 이뇨제로 사용한다.,,
1000003,Medicago sativa,자주개자리,Species,Ready(Synonym),,,,,지중해연안 산의 다년초로서 목초로 재배하고 있으며높이 30~90αη이고 곧추 자라며 털이 거의 없고 속이비어 있다. 잎은 호생하며 소엽은 3개이고 장타원형 또는 도피침형이며 끝이 절두（截頭） 또는 요두（凹頭）이고 주맥의 끝이 뾰족하며 밑부분이 예저（銳底）이고 길이 2?3cm. 너비 6?10mm 로서 윗가장자리에 잔톱니가있으며 턱잎은 피침형이고 가장자리가 밋밋하다. 총상화서는 액생하며 꽃자루가 있고 꽃은 7?8월에 피며길이 7~8_로서 연한 자주색이고 포는 침형이다. 꽃받침은 길이 5~6mm 이며꽃받침잎은 선형으로서 통부（筒部）보다 길고 꼬투리는 나선상으로 2~3회 말리며 털이 있고 여러 개의종자가 들어 있다. 앨괄퍼（dfalfa） 라고 알려진 목초이다.,,
1000004,Vitis vinifera,,Species,Ready(Synonym),,,,,아시아 서부 원산의 낙엽덩굴식물로서 널리 재식하고있으며 잎과 대생하는 덩굴손으로 다른 물체에 붙어 올라가고 어린 가지에 털이 있다. 잎은 호생하며 원형이고 3?5개로 얕게 갈라지며 각 열편은 심장저이고 표면에 털이 없으며 뒷면에 솜털이 밀생하고 가장자리에 톱니가 있다. 원추화서는 잎과 대생하며 황록색이고 소화（小花）가 많이 달리며 꽃받침은 윤상（輪狀） 절두（截頭）이고 꽃잎은 5개가 끝에서 서로 붙어 있으며 밑부분이갈라져서 떨어진다. 수술은 5개이고 수술대 사이에 밀선이 있으며 장과는 둥글고 갈자색으로 익으며 2?3개의 종자가 들어 있다. 열매를생식하거나 포도주를 만든다.,,
1000005,Glycine max,,Species,Ready(Synonym),,,,,"중국 원산의 1년초로서 재배하고 있으며 높이가 60cm에 달하고 잎과 더불어 갈색 털이 있다. 잎은 호생하며잎자루가 길고 3개의 소엽（小葉）으로 구성된 복엽（複葉〉이며 소엽은 난형 또는 타원형이고 예두（銳頭） 또는 둔두（鈍頭）이며 가장자리가 밋밋하고 작은 턱잎은 선형이다. 꽃은 7~8월에 피며 자줏빛이 도는 흥색 또는 백색이고 나비형이며 잎겨드랑이에서 자라는 총상화서에 달린다. 꽃받침은 종모양으로서 5개로 갈라지고 꽃받침잎중에서 밑의 것이 가장 길며 기판（旗瓣）은 넓고 끝이 파지며 익판（翼瓣）은 기판보다 짧고 용골판（龍骨瓣）이가장 짧다. 수술은 10개로서각각 2개로 갈라지며 꼬투리는 짧은 대가 있고 편평한 좁은 타원형이며 1~7개의 종자가 들어 있다. 콩은황백색. 흑색, 연한갈색. 녹색 등 여러 품종이 있으며주요 작물의 하나이다.",,
1000006,Sorghum bicolor,수수,Species,Ready(Synonym),,,,,"재배작물로서 원줄기는 속이 충실하고 마디가 있다. 잎은 길이 50?60cm. 너비 6cm내외로서 끝이 처지며 식물체는 녹색에서적갈색으로 변한다. 큰 원추화서에 꽃이 많이 달리고 가지가 반윤생（半輪生）하며 암꽃은 화병（花柄）이 없고 길이 5mm 정도로서 넓은 도란상 타원형이며 밑부분에 다발털이 있다. 첫째 포영은 딱딱하고 윗부분에 털이 있으며 둘째 포영 및 호영은 얇고 털이 있다. 내영은 길이 6mm 정도의 긴 까락이 있으며 각마디에 대가 있는 수꽃이 卜2개씩 달린다. 이삭이 밑으로 처지는 비수수, var. hoki Ohwi와 단수수，var. dulciusculum Ohwi 등도 때로 심고 있다. 수수와 비슷한 것으로 지하경이길게 뻗는 것을 65+. 시리아수수, S. halepense Pers.라고 한다.",,
1000007,Iris ensata,,Species,Ready(Synonym),,,,,,,
1000008,Populus tremula,,Species,Ready(Synonym),,,,,,,
1000009,Iris pseudacorus,노랑꽃창포,Species,Ready(Synonym),,,,,,,
1000010,Populus nigra,양버들,Species,Ready(Synonym),,,,,,,
1000011,Populus euramericana,이태리포플라,Species,Ready(Synonym),,,,,이탈리아에서 들어온 낙엽교목으로서 생장이 빠르며가지는 둥글고 털이 없으며 어릴 때는 붉은빛이 돌지만자라면서 붉은빛이 없어진다. 잎은 3각형이고 짧은 첨두이며 예저로서 약간 얄은 심장저 비슷하게 된다. 어린잎은 붉은빛이 돌지만 성숙한 잎은 연한녹색이고 잎자루는 편평하며 적색이고 잎새 길이의 3/4 정도이다. 꽃은 녹색으로서 빽백하게 달리며 암술머리는 2개이다.열매는 2개로 갈라지는 삭과이고 그 안에 솜털이 약간들어 있으며 끝이 좁아지면서 뒤로 젖혀진다. 미루나무와 양버들의 잡종 중에서선발된 것으로서 생장이 빠르므로 각처의 산기슭 이하에 심고 있다. 이탈리아에서처음 들어왔기 때문에 이태리포플러라고 한다.,,
1000012,Vitis labrusca,,Species,Ready(Synonym),,,,,,,
1000013,Sonchus oleraceus,방가지똥,Species,Ready(Synonym),,,,,,,
1000014,Viola chaerophylloides,남산제비꽃,Species,Ready(Synonym),,,,,,,
1000015,Aster tripolium,갯개미취,Species,Ready(Synonym),,,,,"바닷가 습지에서 자라는 2년조로서 높이 25? 100cm 이고곧추 자라며 털이 없고 윗부분에서 가지가 갈라지며 밑부분에 붉은빛이 돈다. 뿌리에서 돋은 잎과 밑부분의 잎은 꽃이 필 때 없어지고 밑부분과 중앙부의 잎은 잎자루가 없으며 좁은 피침형이고 끝이 뾰족하며 길이 6.5~ 10cm, 너비 6? 12mm로서 밑부분이 반 정도 원줄기를 감싸고 가장자리가 거의 밋밋하며 윗부분의 잎은 선형이고 포상（苞狀）이다.꽃은 9~ 10 월에 피며 자주색이고 두화는 지름 16?22mm 로서 밑부분에 포가 달리며 꽃자루는 길이 1~3αη 로서 털이없다. 총포는 통형이고 길이와 지름이 각각 7mm 이며 포편은 3줄로 배열되고 외편은 피침형이며 길이 2.5?3mm로서 끝이 둔하고 가장자리에 털이 다소 있으며 내편은 장타원형이고끝이 둥글며 자줏빛이 돈다. 수과는 편평하고 긴 타원형이며길이 2.5 ~ 3mm, 지름 1mm 로서털이 있고 관모는 꽃이 필 때는길이 5mm 정도이며 열매가 익을 때는 길이 14~16_이다.",,
1000016,Populus maximowiczii,황철나무,Species,Ready(Synonym),,,,,"강원도 및 평남 이북의 냇가에서 자라고 높이 30m. 지름 lm인 낙엽교목으로서 껍질은 회색이지만 점차 터지면서 흑갈색으로 되며 가지는 둥글고 털이 있으며 겨울눈에 점질이 있다. 잎은 두껍고 짧은 가지의 것은 타원형 또는 넓은 타원형이며 길이 3~8cm로서 첨두 아심장저이고 물결형의 잔톱니가 있으며 표면은 녹색이고 뒷면은 흰빛이 돌며 전체에 털이 있거나 맥 위에만 털이 있다. 잎자루는 길이 1?4cm로서 짧은 융모（絨毛）가 있고 긴 가지의 잎은 난형 또는 넓은 타원형이며 길이 12-20cm로서 첨두 원저이고 표면은 녹색, 뒷면은 백색이다. 응화수는 길이 5~10cm로서30~40개의 수술이 있으며 자화수는 길이 10~20cm이고 열매는 길이 3~6mm로서털이 없다. 이와 비슷하지만 잎이 장타원형 또는 난상 장타원형으로서 뒷면의 털이없어지고 주맥에만 털이 남아 있는 것을 털황철나무, var. barbinervis Nak.라고 하며북부지방에서 자란다.",,
1000017,Impatiens noli-tangere,노랑물봉선,Species,Ready(Synonym),,,,,,,
1000018,Sorghum nitidum,수수새,Species,Ready(Synonym),,,,,,,
1000019,Glycine soja,돌콩,Species,Ready(Synonym),,,,,,,
1000020,Solanum nigrum,미국까마중,Species,Ready(Synonym),,,,,,,
1000021,Solanum carolinense,도깨비가지,Species,Ready(Synonym),,,,,,,
1000022,Brachypodium sylvaticum,숲개밀,Species,Ready(Synonym),,,,,,,
1000023,Iris tectorum,연미붓꽃,Species,Ready(Synonym),,,,,중국산으로서 가정에서 가干어 온 다년초로서 굵고짧은 근경은 황색이다. 높이 30~50cm 정도 자라며잎은 2줄로 나열하고 너비 3~4cm 이며 다소 자줏빛이 돌고 주맥이 뚜렷하지 않다. 5월경 잎 속에서 자란 꽃줄기는 1?2개 갈라져서 잎보다 다소 높게 자라며 꽃이 2~3개씩 달린다. 꽃은 자주색이고 지름10cm 정도로서 밑부분은 포로 싸여 있다. 3개의 외화피 현부는 둥글며 자주색 점이 있고 주맥의 하반부에는 자주색 반점이 있는 흰색의 닭벼슬 같은 돌기가 있다. 현부의 좁은 부분은 현부 길이의 반 정도로서 비스듬히 달린 자주색 맥이 있다. 내화피는 옆으로 퍼지고 밑으로 갑자기 좁아져서 통으로 된다.수술은 3개가 암술대 뒷면에 있으며 꽃밥은 희고 밖을 향한다. 암술대는 3개이며 끝이 각각 2개로 갈라진다. 씨방은 하위이고 삭과는 길이 4cm 정도로 6フfl의 능선이 있다. 뿌리는 말려서 한약재로 이용한다.737,,
1000024,Solanum dulcamara,,Species,Ready(Synonym),,,,,,,
1000025,Sorghum halepense,시리아수수새,Species,Ready(Synonym),,,,,,,
1000026,Solanum sisymbriifolium,둥근가시가지,Species,Ready(Synonym),,,,,,,
1000027,Dryopteris erythrosora,홍지네고사리,Species,Ready(Synonym),,,,,"남쪽 섬과 울릉도 숲속에서 자라는 상록다년초로서 굵고 짧은 근경 끝에서 잎이 총생하며 잎자루는 길이 20?50cm로서 인편이 밀생한다. 인편은 선형 또는 좁은피침형이고 밋밋하며 갈색 또는 혹갈색으로서 위로 올라갈수록 가늘어지고 짧아지며 잘 떨어진다. 잎새는 장타원형 또는 난상 장타원형이고 끝이 뾰족하며 길이 30-70cm, 너비 20~30cm 로서 2회 우상복엽이고 표면에윤채가 있다. 우편은 피침형 또는 장타원형이며 끝이 꼬리처럼 길고 짧은 대가 있으며 우축 뒷면에 주머니 같은 인편이 달린다. 소우편은 장타원형 또는 좁은 피침형이고 원두 또는 예두로서가장자리가 톱니처럼 얕게갈라진다. 포자낭군은 1줄로달리며 포막은 둥근 신장형이고 가장자리가 밋밋하다.어린 잎과 포막은 홍자색이돈다. 이와 비슷한 반들고사리, var. ambigens Nak. 는포자낭군이 상반부에만 달리고 톱니가 보다 깊게 갈라진다.",,
1000028,Solanum americanum,미국까마중,Species,Ready(Synonym),,,,,,,
1000029,Medicago ruthenica,노랑개자리,Species,Ready(Synonym),,,,,,,
1000030,Solanum rostratum,가시가지,Species,Ready(Synonym),,,,,,,
1000031,Medicago polymorpha,개자리,Species,Ready(Synonym),,,,,,,
1000032,Iris lactea,,Species,Ready(Synonym),,,,,,,
1000033,Solanum villosum,노랑까마중,Species,Ready(Synonym),,,,,,,
1000034,Solanum elaeagnifolium,은빛까마중,Species,Ready(Synonym),,,,,,,
1000035,Populus suaveolens,황철나무,Species,Ready(Synonym),,,,,,,
1000036,Vitis amurensis,왕머루,Species,Ready(Synonym),,,,,,,
1000037,Dryopteris lacera,비늘고사리,Species,Ready(Synonym),,,,,,,
1000038,Dryopteris bissetiana,산족제비고사리,Species,Ready(Synonym),,,,,,,
1000039,Dryopteris sacrosancta,애기족제비고사리,Species,Ready(Synonym),,,,,,,
1000040,Dryopteris crassirhizoma,관중,Species,Ready(Synonym),,,,,,,
